source,path,suffix,category,cyrillic_share,words,bytes,factor,heuristic_tokens,sha256
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\roles.ru.md,.md,cyrillic,0.7021,1091,12327,2.2,2401,06a365fa2a4fb41ee8fba54b8d5c57cb4d670e0336ac9289fdb7b136cc91fd67
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\small-llm-contract.md,.md,cyrillic,0.0025,536,3845,2.2,1180,3630be44ff9c05171db9e1cd96a7b45fbf9742cb1e242e86e78c0b1a9abfa7ca
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\small-llm-contract.ru.md,.md,cyrillic,0.7174,470,5831,2.2,1034,14eada90061e5af9ddb9f9ce77a74904ae9f6b919552d6485451347312ffa5ac
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\state-machine.md,.md,cyrillic,0.0009,1477,11235,2.2,3250,a37708cd0181c32e52f61b571ea6c77a290e46dc141f374542060efe563f812b
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\state-machine.ru.md,.md,cyrillic,0.637,1247,16562,2.2,2744,f32213200cfb783596db0211a75be8f4f5c69d4d75b8ebe8f643bee31f6c6c76
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\testing-strategy.md,.md,cyrillic,0.4521,2241,25420,2.2,4931,8363bd5421832cd0d67fed8b1f5473be661871b964b8153c318c55bf864f53f9
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\using.md,.md,cyrillic,0.0007,1868,14040,2.2,4110,33f1aa2a148945dbbf311ded3c5e3d29feeae4b81accde68b34d7c2f6cce17a2
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\using.ru.md,.md,cyrillic,0.4868,1659,18978,2.2,3650,d4bb1b13014d8990d95fae472baa8130a289376f9699a102feef55779c18c7f8
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\workflow.md,.md,cyrillic,0.0015,2460,18951,2.2,5412,701c70badfbad8f76a552c3ae0ad5f0f9482cd410c0ecb32f6f1355edae41148
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\workflow.ru.md,.md,cyrillic,0.6489,2533,30995,2.2,5573,ec60f1c150bb1a8143ae96818f65b9398b7aca15bf22b2506622284c29eab401
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\capability.descriptor.yaml,.yaml,yaml,0.0,26,325,4.5,117,85201d511c468789da74270c407a9a0ca893dbfa3b44f6185c0d3835a69690fd
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\change.descriptor.yaml,.yaml,yaml,0.0,53,515,4.5,239,d50e6eb401b0d1a2b45cc9d5a6837731f3db3b67e525cd10f5f257cc10316d7d
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\coverage.descriptor.yaml,.yaml,yaml,0.0,24,299,4.5,108,53ac131078c61579ccafa60c224dd1d25fb317f0080a176f895b7af56336a790
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\decision.descriptor.yaml,.yaml,yaml,0.0,52,472,4.5,234,fdcc5ca06a15ee8bd10254620dba81d172f5d6d08de17a27c774879e6e0422a7
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\evidence.descriptor.yaml,.yaml,yaml,0.0,50,498,4.5,225,7f3508dcca307dd6c7bb7e5da52adcb643a3f7acc6d3bbf42dfd8f64205e2c1c
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\lock.descriptor.yaml,.yaml,yaml,0.0,24,302,4.5,108,8e638cf04694f7314dd99c526b47128e519b7efc6a3489a9837cb42ef9098ca0
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\manifest.json,.json,yaml,0.0,100,1391,4.5,450,ff95b54a8a915903f6fa553e39e6444e8c1f1764faaee28dfba8569d1ba97130
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\receipt.schema.yaml,.yaml,yaml,0.0,166,1797,4.5,747,136d183f2c5139f6d92628abd01406577d04201bb0ae5b24656db4b989095c8d
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\routing.descriptor.yaml,.yaml,yaml,0.0,28,325,4.5,126,bf117eb29178125ab4212859bfe2c0d8f25f61e88ac9a93e17110809d94bf130
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\slice.descriptor.yaml,.yaml,yaml,0.0,61,596,4.5,275,d3fd15cca11fbce947f5f4d4c489d5361aebf34c82462efbc63f67310ddb93ef
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\spec-delta.descriptor.yaml,.yaml,yaml,0.0,43,430,4.5,194,ec45dc81c161acce901daf1202b420fda95010c210376b32ebeea50750257e73
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\artifact-operations\task.descriptor.yaml,.yaml,yaml,0.0,69,641,4.5,311,02a82511c739aaf100ac495280738d9d4ad05a5650559f827f7fda0847f79572
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\capability.schema.yaml,.yaml,yaml,0.0,153,2162,4.5,689,c2cb8ccb69e108b9e59f1795e78ac1f7150e594143d0a04e2eb298e5327a68be
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\change.schema.yaml,.yaml,yaml,0.0,292,3176,4.5,1314,51805fa8d3fef8211dca6503ebdcd6bf865dbdec32e83570f49e494950069cb7
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\coverage.schema.yaml,.yaml,yaml,0.0,114,1467,4.5,513,c1de7c2ee18f0512a50e1fdb87d5ac15014b4741c6ef915c35a6af31ac53f6c3
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\decision.schema.yaml,.yaml,yaml,0.0,119,1190,4.5,536,3e5b4d6ffc1b0281d6fd81873292d741f0c4f139776e00a115306bc1c4e20edb
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\evidence.schema.yaml,.yaml,yaml,0.0,156,1697,4.5,702,7c8f1e27a4d950a8ee335b0cf36e876c378d770d602688c9d4edf06df3058d9a
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\lock.schema.yaml,.yaml,yaml,0.0,88,996,4.5,396,06071e7d8a4e34603480ec540757c7c655c5bb4d1ef6e9d93e4e85e89269d261
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\routing.schema.yaml,.yaml,yaml,0.0,104,1214,4.5,468,d39ecbd145f87f9a4d58b4bf59f961f7d3d82c983c62498d5464988887e9ed10
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\slice.schema.yaml,.yaml,yaml,0.0,123,1337,4.5,554,18396296a00268a5c18abaeba3c08e4f6a5413d19bbad0b64c18f7201332da67
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\spec-delta.schema.yaml,.yaml,yaml,0.0,85,878,4.5,383,ae0b0b1b08461a583897fe47d847d8d2473a5e234f8ebf63a822957929e8c9a9
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\schemas\task.schema.yaml,.yaml,yaml,0.0,144,1528,4.5,648,aee0146d0914bfc4b198c1aab80ecad6f1f4d3cdd2f74b6efcd42ff987e47f21
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\analyze\SKILL.md,.md,en,0.0,737,5330,1.3,959,fd9efa8c15b6fb8725c47d1039186f647a5bc798fb67d3d04ae1ddebe5ab58d8
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\declare\SKILL.md,.md,en,0.0,513,3451,1.3,667,5db4d5998bd2237baa544972796e37a7a37492b2db515bb95eff023409a0d004
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\process\skills\decompose\SKILL.md,.md,en,0.0,435,3120,1.3,566,857cff59785b8d67e57eeb8f5c06e1044533e822195c24a016072b0fd6ea9b39
