source,path,suffix,category,cyrillic_share,words,bytes,tokenizer,tokens,tokens_per_word,tokens_per_kbyte,heuristic_tokens
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\artifact-writer.md,.md,en,0.0,717,5860,qwen3,1487,2.0739,253.754,933
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\artifact-writer.ru.md,.md,cyrillic,0.5037,697,8110,qwen3,1957,2.8077,241.307,1534
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\board-snapshot.md,.md,cyrillic,0.0014,1092,7677,qwen3,2012,1.8425,262.082,2403
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\board-snapshot.ru.md,.md,cyrillic,0.6368,488,5062,qwen3,1187,2.4324,234.492,1074
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\halt.md,.md,cyrillic,0.0019,849,5431,qwen3,1468,1.7291,270.3,1868
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\halt.ru.md,.md,cyrillic,0.5119,321,3250,qwen3,792,2.4673,243.692,707
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\leash.md,.md,cyrillic,0.0016,887,6047,qwen3,1567,1.7666,259.137,1952
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\contracts\leash.ru.md,.md,cyrillic,0.5604,445,4583,qwen3,1044,2.3461,227.798,980
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\core-and-worker.md,.md,cyrillic,0.007,547,3401,qwen3,846,1.5466,248.75,1204
deltafuse,C:\Users\ghost\workspace\gste\deltafuse\docs\core-and-worker.ru.md,.md,cyrillic,0.6179,470,4765,qwen3,1062,2.2596,222.875,1034
